lexicon,polarity,origin
ادلخ,-1,KSA
اذلت,-1,KSA
اذناب,-1,KSA
اذيالها,-1,KSA
اراذل,-1,KSA
ارتد,-1,KSA
ارححل,-1,KSA
ارحل,-1,KSA
اردي,-1,KSA
ارفض,-1,KSA
ارميه,-1,KSA
ارهابي,-1,KSA
ارهابيه,-1,KSA
ارهبونا,-1,KSA
ازدحمت,-1,KSA
ازعجتونا,-1,KSA
ازعجونا,-1,KSA
ازق,-1,KSA
ازمة,-1,KSA
ازناب,-1,KSA
استبعاده,-1,KSA
استراح,-1,KSA
استعمر,-1,KSA
استغل,-1,KSA
استغلال,-1,KSA
استغلالي,-1,KSA
استغلت,-1,KSA
استغلو,-1,KSA
استغلوا,-1,KSA
استفزاز,-1,KSA
استفزني,-1,KSA
استقيل,-1,KSA
استمات,-1,KSA
استنفار,-1,KSA
استنكارا,-1,KSA
استهتار,-1,KSA
استهداف,-1,KSA
استهلك,-1,KSA
غالية,-1,KSA
اسقاط,-1,KSA
اسوء,-1,KSA
اسوا,-1,KSA
اسؤا,-1,KSA
اشتك,-1,KSA
اشتكهم,-1,KSA
اشحدي,-1,KSA
اشغلنا,-1,KSA
اشك,-1,KSA
اصدمها,-1,KSA
اضراهم,-1,KSA
اضرب,-1,KSA
اضرتهم,-1,KSA
اضعت,-1,KSA
اضعف,-1,KSA
اطردوهم,-1,KSA
اطفر,-1,KSA
اطقع,-1,KSA
اطماع,-1,KSA
اعتراض,-1,KSA
اعتراضا,-1,KSA
اعترضوا,-1,KSA
اعدائك,-1,KSA
اغبي,-1,KSA
اغبياء,-1,KSA
اغتصاب,-1,KSA
اغراق,-1,KSA
اغلاطه,-1,KSA
اغماء,-1,KSA
افتراء,-1,KSA
افحط,-1,KSA
افسد,-1,KSA
افضحو,-1,KSA
افضحوهم,-1,KSA
افلست,-1,KSA
اقدح,-1,KSA
اقصاء,-1,KSA
اكلت,-1,KSA
اكلونا,-1,KSA
الربا,-1,KSA
الافسدوها,-1,KSA
الابتزاز,-1,KSA
الاحتلال,-1,KSA
الاحتيال,-1,KSA
الاختلاط,-1,KSA
الاخطاء,-1,KSA
الاخوانج,-1,KSA
الارتداد,-1,KSA
الارهابيه,-1,KSA
الازدراء,-1,KSA
الاستقاله,-1,KSA
الاستهتار,-1,KSA
الاستهزاز,-1,KSA
الاسراف,-1,KSA
الاسوء,-1,KSA
الاعتداء,-1,KSA
الاغباء,-1,KSA
الاغبياء,-1,KSA
الاغماء,-1,KSA
الاقل,-1,KSA
الاكتئاب,-1,KSA
الانتكاس,-1,KSA
الانجراف,-1,KSA
الانحلال,-1,KSA
الانشقاق,-1,KSA
الانفصال,-1,KSA
الانهيار,-1,KSA
الاهانه,-1,KSA
الاهبل,-1,KSA
الاهمال,-1,KSA
الاباحية,-1,KSA
الاحتيالات,-1,KSA
الادانات,-1,KSA
الارهاب,-1,KSA
الانقلاب,-1,KSA
الاخوانجية,-1,KSA
الاذناب,-1,KSA
الالحاد,-1,KSA
الالم,-1,KSA
الامراض,-1,KSA
الامعات,-1,KSA
الانجاس,-1,KSA
الباطل,-1,KSA
البايخه,-1,KSA
البائس,-1,KSA
البجيح,-1,KSA
البربسه,-1,KSA
البرعصي,-1,KSA
البطالة,-1,KSA
البطاله,-1,KSA
البطيئ,-1,KSA
البغضاء,-1,KSA
البقر,-1,KSA
البكاء,-1,KSA
البكش,-1,KSA
البلاء,-1,KSA
البلبله,-1,KSA
والربا,-1,KSA
والسحت,-1,KSA
السحت,-1,KSA
البهائم,-1,KSA
البهرجة,-1,KSA
البوذية,-1,KSA
البومه,-1,KSA
البيرة,-1,KSA
التافه,-1,KSA
التاثير,-1,KSA
التبن,-1,KSA
التجاهل,-1,KSA
التجسس,-1,KSA
التحرش,-1,KSA
التحريض,-1,KSA
التحريضيه,-1,KSA
التخدير,-1,KSA
التخلف,-1,KSA
التخلي,-1,KSA
التدسدس,-1,KSA
التدهور,-1,KSA
الترابين,-1,KSA
التستر,-1,KSA
التسلاب,-1,KSA
التشكي,-1,KSA
التشكيك,-1,KSA
التضيق,-1,KSA
التطبيل,-1,KSA
التعب,-1,KSA
التعبانه,-1,KSA
التعذيب,-1,KSA
التعسف,-1,KSA
التعسفيه,-1,KSA
التكدسدس,-1,KSA
التلاعب,-1,KSA
التلوث,-1,KSA
التمسكن,-1,KSA
التنظير,-1,KSA
التنغيص,-1,KSA
التهديد,-1,KSA
التهور,-1,KSA
التهويل,-1,KSA
التهيض,-1,KSA
التوتر,-1,KSA
التولول,-1,KSA
التيس,-1,KSA
الثوار,-1,KSA
الجاحدين,-1,KSA
الجامية,-1,KSA
الجاهلية,-1,KSA
الجاهليه,-1,KSA
الجبناء,-1,KSA
الجحفلة,-1,KSA
الجحلط,-1,KSA
الجحود,-1,KSA
الجرائم,-1,KSA
الجزم,-1,KSA
الجشع,-1,KSA
الجلطة,-1,KSA
الجنازه,-1,KSA
الجهل,-1,KSA
الجهله,-1,KSA
الحثالة,-1,KSA
الحثاله,-1,KSA
الحدو,-1,KSA
الاستفزاز,-1,KSA
الحرامي,-1,KSA
الحرامية,-1,KSA
الحراميه,-1,KSA
الحرب,-1,KSA
الحرمان,-1,KSA
تغتال,-1,KSA
الحزبين,-1,KSA
الحزن,-1,KSA
الحسد,-1,KSA
الحصار,-1,KSA
الحظيظ,-1,KSA
الحقوده,-1,KSA
الحقير,-1,KSA
توجع,-1,KSA
الحمار,-1,KSA
الحماره,-1,KSA
الحمارين,-1,KSA
الحمقي,-1,KSA
الحمير,-1,KSA
الحن,-1,KSA
الحوثي,-1,KSA
الحوش,-1,KSA
الحيوان,-1,KSA
الحيوانات,-1,KSA
الخايسه,-1,KSA
الخاين,-1,KSA
الخائن,-1,KSA
الخبله,-1,KSA
الخبيث,-1,KSA
الخدم,-1,KSA
الخدوعات,-1,KSA
الخرا,-1,KSA
الخراب,-1,KSA
الخرفان,-1,KSA
الخساير,-1,KSA
الخصم,-1,KSA
الخطر,-1,KSA
الخلافات,-1,KSA
الخمه,-1,KSA
الخمور,-1,KSA
الخميني,-1,KSA
الخنبقه,-1,KSA
الخوارج,-1,KSA
الخوراج,-1,KSA
الخوف,-1,KSA
الخونة,-1,KSA
الخونه,-1,KSA
الخيانة,-1,KSA
الخيانه,-1,KSA
الخيبة,-1,KSA
الدجال,-1,KSA
الدجه,-1,KSA
الدشرة,-1,KSA
الدشير,-1,KSA
الدعارة,-1,KSA
الدعشنه,-1,KSA
الدلوخ,-1,KSA
الدماء,-1,KSA
الدمار,-1,KSA
الدواعش,-1,KSA
الديوث,-1,KSA
الديون,-1,KSA
الرافضي,-1,KSA
الرجس,-1,KSA
الرخيص,-1,KSA
الرذيلة,-1,KSA
الرذيله,-1,KSA
الرشاوي,-1,KSA
الرعب,-1,KSA
الرفض,-1,KSA
الرقص,-1,KSA
الروافض,-1,KSA
الزائفة,-1,KSA
الزبالين,-1,KSA
الزج,-1,KSA
الزعيق,-1,KSA
الزفت,-1,KSA
الزيطه,-1,KSA
الزيغ,-1,KSA
الساحق,-1,KSA
السب,-1,KSA
السبايك,-1,KSA
السجن,-1,KSA
السحر,-1,KSA
السخيفه,-1,KSA
السرق,-1,KSA
السرقات,-1,KSA
السفهاء,-1,KSA
السكر,-1,KSA
السكوت,-1,KSA
السلال,-1,KSA
السلب,-1,KSA
السم,-1,KSA
السيء,-1,KSA
السئ,-1,KSA
الشبهة,-1,KSA
الشتم,-1,KSA
الشذوذ,-1,KSA
الشرذمه,-1,KSA
الشرهه,-1,KSA
الشقاء,-1,KSA
الشياطين,-1,KSA
الشيب,-1,KSA
الشيشة,-1,KSA
الشيطان,-1,KSA
الشيعة,-1,KSA
الصادم,-1,KSA
الصحوين,-1,KSA
الصراصير,-1,KSA
الصفعات,-1,KSA
الصفوي,-1,KSA
الصليبي,-1,KSA
الصمت,-1,KSA
الصهيوني,-1,KSA
الصهيونية,-1,KSA
الصهيونيه,-1,KSA
الصيع,-1,KSA
الضايعه,-1,KSA
الضحيه,-1,KSA
الضريبه,-1,KSA
الضعف,-1,KSA
الضعوف,-1,KSA
الضعوي,-1,KSA
الضعيف,-1,KSA
الضعيفة,-1,KSA
الضغط,-1,KSA
الضلال,-1,KSA
الطارد,-1,KSA
الطاغية,-1,KSA
الطاقية,-1,KSA
الطاقيه,-1,KSA
الطايشة,-1,KSA
الطائفي,-1,KSA
الطائفية,-1,KSA
الطحالب,-1,KSA
الطرد,-1,KSA
الطرش,-1,KSA
الطعن,-1,KSA
الطغاة,-1,KSA
الطغاه,-1,KSA
الطغيان,-1,KSA
الطفاري,-1,KSA
الطفش,-1,KSA
الطلاسم,-1,KSA
الطناخه,-1,KSA
الطواقي,-1,KSA
الطيز,-1,KSA
الظالم,-1,KSA
الظالمون,-1,KSA
الظلم,-1,KSA
العار,-1,KSA
صعبه,-1,KSA
العانس,-1,KSA
العاهرات,-1,KSA
العبد,-1,KSA
العبيد,-1,KSA
العتب,-1,KSA
العجره,-1,KSA
العدو,-1,KSA
العفن,-1,KSA
العفنة,-1,KSA
العقوبات,-1,KSA
العقيم,-1,KSA
العلمانية,-1,KSA
العلمانيه,-1,KSA
العلمانين,-1,KSA
العنجهية,-1,KSA
العنصرية,-1,KSA
العنصريه,-1,KSA
العنيفة,-1,KSA
العهر,-1,KSA
العياط,-1,KSA
العيب,-1,KSA
الغاء,-1,KSA
الغاشم,-1,KSA
الغباء,-1,KSA
الغبنه,-1,KSA
الغبي,-1,KSA
الغبية,-1,KSA
الغبيه,-1,KSA
الغرامة,-1,KSA
الغربه,-1,KSA
الغزلنجي,-1,KSA
الغزو,-1,KSA
الغش,-1,KSA
الغضب,-1,KSA
الغفلة,-1,KSA
الغفله,-1,KSA
الغلبان,-1,KSA
الغلطان,-1,KSA
الغم,-1,KSA
الغيبة,-1,KSA
لعنه,-1,KSA
الفاجعة,-1,KSA
الفاحش,-1,KSA
الفاحشة,-1,KSA
الفار,-1,KSA
الفاسدة,-1,KSA
الفاشل,-1,KSA
الفتن,-1,KSA
الفتنة,-1,KSA
الفتنه,-1,KSA
الفجور,-1,KSA
الفراغ,-1,KSA
الفرقه,-1,KSA
الفزع,-1,KSA
الفساد,-1,KSA
الفساق,-1,KSA
الفسق,-1,KSA
الفشل,-1,KSA
الفصام,-1,KSA
الفصل,-1,KSA
الفقر,-1,KSA
الفقراويه,-1,KSA
الفلس,-1,KSA
الفلسفه,-1,KSA
الفوضي,-1,KSA
الفيران,-1,KSA
الفئران,-1,KSA
القاتل,-1,KSA
القالون,-1,KSA
القبيح,-1,KSA
القتل,-1,KSA
القتلة,-1,KSA
القحط,-1,KSA
القذف,-1,KSA
القرف,-1,KSA
القصف,-1,KSA
فاسد,-1,KSA
القطيع,-1,KSA
القلق,-1,KSA
القمامة,-1,KSA
القهر,-1,KSA
جحورها,-1,KSA
الكابوس,-1,KSA
الكاذب,-1,KSA
الكارثة,-1,KSA
الكارهين,-1,KSA
الكبش,-1,KSA
الكذابة,-1,KSA
الكذب,-1,KSA
الكفار,-1,KSA
الكلاب,-1,KSA
الكلب,-1,KSA
الكنايس,-1,KSA
الكئابة,-1,KSA
اللاجئين,-1,KSA
اللبرالي,-1,KSA
اللعن,-1,KSA
اللعنة,-1,KSA
اللعنه,-1,KSA
اللعين,-1,KSA
الليبراليه,-1,KSA
اللهو,-1,KSA
الليبرالي,-1,KSA
الليبراليات,-1,KSA
الليبرالية,-1,KSA
الليبرالين,-1,KSA
الليبروجامية,-1,KSA
الماجورين,-1,KSA
المبالغه,-1,KSA
المبزره,-1,KSA
المتحرشين,-1,KSA
المتخلف,-1,KSA
المتخلفين,-1,KSA
المتذمرين,-1,KSA
المترز,-1,KSA
المتسعودين,-1,KSA
المتسللين,-1,KSA
المتشددون,-1,KSA
المتشددين,-1,KSA
المتطرف,-1,KSA
المتطرفين,-1,KSA
المتناقض,-1,KSA
المجازر,-1,KSA
المجرم,-1,KSA
المجوس,-1,KSA
المجوسي,-1,KSA
المحارش,-1,KSA
المحتلة,-1,KSA
المحرج,-1,KSA
المحطمة,-1,KSA
المحنة,-1,KSA
المخيسه,-1,KSA
المذله,-1,KSA
المرتزق,-1,KSA
المرتزقة,-1,KSA
المرتشين,-1,KSA
المرعب,-1,KSA
المركوبين,-1,KSA
المريض,-1,KSA
المزالة,-1,KSA
المزلزل,-1,KSA
المساكين,-1,KSA
المستشرفين,-1,KSA
المسخرة,-1,KSA
المسكين,-1,KSA
المسكينه,-1,KSA
المشاكل,-1,KSA
المشبوهه,-1,KSA
المشردين,-1,KSA
المشككين,-1,KSA
المصادمات,-1,KSA
المصخرة,-1,KSA
المصخره,-1,KSA
المضطربة,-1,KSA
المضطهدين,-1,KSA
المطبلين,-1,KSA
المعارض,-1,KSA
المعارضين,-1,KSA
المعترضين,-1,KSA
المعتقلات,-1,KSA
المعزول,-1,KSA
المعفنه,-1,KSA
المعنفه,-1,KSA
المغزلجين,-1,KSA
المفبركة,-1,KSA
المفحط,-1,KSA
المفصولين,-1,KSA
المفلس,-1,KSA
المقاطعه,-1,KSA
الملاحده,-1,KSA
الملحد,-1,KSA
الملحدين,-1,KSA
المنكر,-1,KSA
المهازل,-1,KSA
المهايطية,-1,KSA
المهايطيه,-1,KSA
المهجن,-1,KSA
المهرجين,-1,KSA
المهلكة,-1,KSA
الموساد,-1,KSA
المؤامرات,-1,KSA
الناحلات,-1,KSA
النازف,-1,KSA
النباح,-1,KSA
النتنه,-1,KSA
الندم,-1,KSA
النصب,-1,KSA
خطر,-1,KSA
النفاق,-1,KSA
النفسية,-1,KSA
النكبات,-1,KSA
النكد,-1,KSA
النكسات,-1,KSA
النميمة,-1,KSA
النهب,-1,KSA
النيك,-1,KSA
الهاويه,-1,KSA
الهبوط,-1,KSA
الهدر,-1,KSA
الهرب,-1,KSA
الهرطقات,-1,KSA
الهزيلين,-1,KSA
الهطوف,-1,KSA
الهم,-1,KSA
الهمجيه,-1,KSA
الهوايه,-1,KSA
الهياط,-1,KSA
الهيعه,-1,KSA
الواسطات,-1,KSA
الوجع,-1,KSA
الوراعين,-1,KSA
الوسخه,-1,KSA
الوضيع,-1,KSA
الوهابية,-1,KSA
الوهم,-1,KSA
والهم,-1,KSA
والغم,-1,KSA
اليهود,-1,KSA
اليهودية,-1,KSA
لفئران,-1,KSA
امبباع,-1,KSA
امحق,-1,KSA
مخزي,-1,KSA
الردي,-1,KSA
ارهاب,-1,KSA
انتزاعهما,-1,KSA
انتقاص,-1,KSA
انتقم,-1,KSA
انتكست,-1,KSA
انتهي,-1,KSA
انتهينا,-1,KSA
انجس,-1,KSA
انجلد,-1,KSA
انحاش,-1,KSA
انحطاط,-1,KSA
انحطواليبرالين,-1,KSA
انحلال,-1,KSA
انخنقنا,-1,KSA
اندق,-1,KSA
انسبيت,-1,KSA
انسحاب,-1,KSA
انطم,-1,KSA
انعدام,-1,KSA
انغلاق,-1,KSA
انفجار,-1,KSA
انفخ,-1,KSA
انفصلو,-1,KSA
انفضحوا,-1,KSA
انقذفت,-1,KSA
انقلب,-1,KSA
انقلع,-1,KSA
انكروا,-1,KSA
انهزمو,-1,KSA
انهق,-1,KSA
انهيار,-1,KSA
انيهار,-1,KSA
اهانه,-1,KSA
اهجدوا,-1,KSA
اهدار,-1,KSA
اهمال,-1,KSA
اوجاع,-1,KSA
اوسخ,-1,KSA
اوسوس,-1,KSA
اوقفو,-1,KSA
الصهاينة,-1,KSA
الحقيرة,-1,KSA
ايران,-1,KSA
ايسو,-1,KSA
اتهام,-1,KSA
اجرام,-1,KSA
اذلال,-1,KSA
ارهابية,-1,KSA
اساءة,-1,KSA
استرجلو,-1,KSA
استرجلوا,-1,KSA
استعباد,-1,KSA
استقالة,-1,KSA
اسرائيل,-1,KSA
اضعاف,-1,KSA
اعدام,-1,KSA
اعدامنا,-1,KSA
افلاس,-1,KSA
اقمع,-1,KSA
اهانة,-1,KSA
احرق,-1,KSA
اخذل,-1,KSA
اذاهم,-1,KSA
اذية,-1,KSA
اسقط,-1,KSA
اشباح,-1,KSA
اشداعداء,-1,KSA
اضر,-1,KSA
اعداء,-1,KSA
اقلعوهم,-1,KSA
العن,-1,KSA
الغيت,-1,KSA
الم,-1,KSA
امعات,-1,KSA
اهانت,-1,KSA
اهبل,-1,KSA
باتهام,-1,KSA
باحتلال,-1,KSA
بارات,-1,KSA
باطلة,-1,KSA
بالاختناقات,-1,KSA
بالاخوانجية,-1,KSA
بالالحاد,-1,KSA
بالارهاب,-1,KSA
بالبار,-1,KSA
بالبكاء,-1,KSA
بالتطرف,-1,KSA
بالجدري,-1,KSA
بالجزمة,-1,KSA
بالجزمه,-1,KSA
بالرافضة,-1,KSA
بالرخيص,-1,KSA
بالرشاوي,-1,KSA
بالزكام,-1,KSA
بالطاغيه,-1,KSA
بالطبول,-1,KSA
بالغلط,-1,KSA
بالفئران,-1,KSA
بالقتل,-1,KSA
بالقصف,-1,KSA
بالكبتاغون,-1,KSA
بالكفخ,-1,KSA
بالمجرمين,-1,KSA
بالمفخخات,-1,KSA
بالهمجية,-1,KSA
بالهمجيه,-1,KSA
بانعدام,-1,KSA
بانغلاق,-1,KSA
باهظة,-1,KSA
بايخه,-1,KSA
باستنقاص,-1,KSA
بابليس,-1,KSA
بتتدمر,-1,KSA
بتتسرق,-1,KSA
بتتعدي,-1,KSA
بتتمصخرون,-1,KSA
بتذلل,-1,KSA
بتعريط,-1,KSA
بتفشي,-1,KSA
المواجع,-1,KSA
بتنصدمون,-1,KSA
بثورة,-1,KSA
بجرائمكم,-1,KSA
بجلد,-1,KSA
بحديب,-1,KSA
بحرب,-1,KSA
بحماقات,-1,KSA
بخدعة,-1,KSA
بخطر,-1,KSA
بدعه,-1,KSA
بربروا,-1,KSA
بربسة,-1,KSA
برحيل,-1,KSA
برصاص,-1,KSA
برفضه,-1,KSA
بزران,-1,KSA
بزلازال,-1,KSA
الحوادث,-1,KSA
بسجن,-1,KSA
بسقوطهم,-1,KSA
بسماجههة,-1,KSA
بسوء,-1,KSA
بشتمهم,-1,KSA
بشع,-1,KSA
بطرد,-1,KSA
بطيء,-1,KSA
بظلم,-1,KSA
بعبع,-1,KSA
بعنادك,-1,KSA
الدعاره,-1,KSA
بفصل,-1,KSA
بقذائف,-1,KSA
بكبكة,-1,KSA
بكيتو,-1,KSA
بلشان,-1,KSA
بلكه,-1,KSA
بلية,-1,KSA
بمعاناتكم,-1,KSA
بنجاسة,-1,KSA
بنصقع,-1,KSA
بنقضي,-1,KSA
بهايم,-1,KSA
بهبوط,-1,KSA
بواسطه,-1,KSA
بول,-1,KSA
بويه,-1,KSA
بيتريقوا,-1,KSA
بيحتلون,-1,KSA
بيحدون,-1,KSA
بيروقراطي,-1,KSA
بيغمي,-1,KSA
بيلقمون,-1,KSA
بينجلطون,-1,KSA
بينفرهم,-1,KSA
بينهار,-1,KSA
تافهة,-1,KSA
تاخر,-1,KSA
تازم,-1,KSA
تامرت,-1,KSA
تبا,-1,KSA
تباعدنا,-1,KSA
تبتئسوا,-1,KSA
تبجحت,-1,KSA
تبطون,-1,KSA
تبكبك,-1,KSA
تبكي,-1,KSA
تبن,-1,KSA
تبول,-1,KSA
تتبكبكون,-1,KSA
تترجاء,-1,KSA
تتساوين,-1,KSA
تتشتكي,-1,KSA
تتعاقب,-1,KSA
تتعبك,-1,KSA
تتهموننا,-1,KSA
تجاهله,-1,KSA
تجاهلوا,-1,KSA
تجاوزا,-1,KSA
تجحدون,-1,KSA
تجميد,-1,KSA
تحارب,-1,KSA
تحايل,-1,KSA
تحتج,-1,KSA
تحترق,-1,KSA
تحتل,-1,KSA
تححايل,-1,KSA
تحر,-1,KSA
تحرش,-1,KSA
تحرشات,-1,KSA
تحريفهم,-1,KSA
تحزن,-1,KSA
تحسد,-1,KSA
تحطيم,-1,KSA
تحقد,-1,KSA
تخاذلو,-1,KSA
تخاف,-1,KSA
تخبطاتهم,-1,KSA
تخربون,-1,KSA
تخريب,-1,KSA
تخسر,-1,KSA
تخسرون,-1,KSA
تخسي,-1,KSA
تخضع,-1,KSA
تخلف,-1,KSA
تخوزقوا,-1,KSA
تخوينهم,-1,KSA
تدليسهم,-1,KSA
تدمر,-1,KSA
تدمرت,-1,KSA
تدمير,-1,KSA
تدين,-1,KSA
تذمر,-1,KSA
تراب,-1,KSA
تراجعنا,-1,KSA
تراكم,-1,KSA
ترتجون,-1,KSA
ترحيل,-1,KSA
ترفض,-1,KSA
ترقيع,-1,KSA
ترك,-1,KSA
تركت,-1,KSA
ترهن,-1,KSA
تزاعلو,-1,KSA
تساهل,-1,KSA
تستخفوا,-1,KSA
تستخفون,-1,KSA
تستصرخ,-1,KSA
تستغل,-1,KSA
تستغلون,-1,KSA
تستهزيء,-1,KSA
تسحب,-1,KSA
تسخر,-1,KSA
تسرقون,-1,KSA
تسلاب,-1,KSA
تسلط,-1,KSA
تسلطك,-1,KSA
تسلطو,-1,KSA
بار,-1,KSA
تشرشح,-1,KSA
تشويه,-1,KSA
تصعيب,-1,KSA
تصيح,-1,KSA
تضر,-1,KSA
تضليل,-1,KSA
تطاولوا,-1,KSA
تطقطق,-1,KSA
تعارض,-1,KSA
تعارضنا,-1,KSA
تعاندون,-1,KSA
تعب,-1,KSA
تعبت,-1,KSA
تعبنا,-1,KSA
تعترض,-1,KSA
تعدي,-1,KSA
تعسفهم,-1,KSA
تعقيد,-1,KSA
تعيطو,-1,KSA
تعيطوا,-1,KSA
تغريب,-1,KSA
تفاهات,-1,KSA
تفصل,-1,KSA
تفصله,-1,KSA
تفصلهم,-1,KSA
تفضح,-1,KSA
تفكك,-1,KSA
تفكنا,-1,KSA
تفكيك,-1,KSA
تفله,-1,KSA
تفو,-1,KSA
تقصي,-1,KSA
تقصير,-1,KSA
تقلعن,-1,KSA
تقليص,-1,KSA
تكاسلهم,-1,KSA
تكدس,-1,KSA
تكرهنا,-1,KSA
تلاعب,-1,KSA
تلحد,-1,KSA
تلغونه,-1,KSA
تلغي,-1,KSA
تلوث,-1,KSA
تمزيق,-1,KSA
تمشكلوا,-1,KSA
تممردن,-1,KSA
تمنع,-1,KSA
تموت,-1,KSA
تميلح,-1,KSA
تنبح,-1,KSA
تنرفزون,-1,KSA
تنزف,-1,KSA
تنطرد,-1,KSA
تنفضهم,-1,KSA
تنكدت,-1,KSA
تنهار,-1,KSA
تهاوش,-1,KSA
تهايط,-1,KSA
تهجمه,-1,KSA
تهجمهم,-1,KSA
تهدالحيل,-1,KSA
تهدد,-1,KSA
تهديد,-1,KSA
تهديدات,-1,KSA
تهديدها,-1,KSA
تهزم,-1,KSA
تهينني,-1,KSA
توحي,-1,KSA
توسط,-1,KSA
تولولون,-1,KSA
تيوس,-1,KSA
ثورات,-1,KSA
ثورة,-1,KSA
ثوره,-1,KSA
خربان,-1,KSA
جالطكم,-1,KSA
جاهل,-1,KSA
جبان,-1,KSA
جحد,-1,KSA
جحفلي,-1,KSA
جحيم,-1,KSA
جرائم,-1,KSA
جرب,-1,KSA
جربع,-1,KSA
جرذان,-1,KSA
جريمة,-1,KSA
جريمته,-1,KSA
جشع,-1,KSA
جشعكم,-1,KSA
جشعها,-1,KSA
جلد,-1,KSA
جهل,-1,KSA
جهلكم,-1,KSA
حاقد,-1,KSA
حاقدين,-1,KSA
عاله,-1,KSA
حتخيبوا,-1,KSA
حثالات,-1,KSA
حثالة,-1,KSA
حذر,-1,KSA
شحاذين,-1,KSA
حرام,-1,KSA
حرب,-1,KSA
حربه,-1,KSA
حزن,-1,KSA
حزنا,-1,KSA
حزين,-1,KSA
حزينه,-1,KSA
حساد,-1,KSA
حستهم,-1,KSA
حسد,-1,KSA
حسسافه,-1,KSA
حطمت,-1,KSA
حقد,-1,KSA
حقير,-1,KSA
حكروه,-1,KSA
حمار,-1,KSA
حماقه,-1,KSA
حمقي,-1,KSA
حموضه,-1,KSA
حمير,-1,KSA
حوادث,-1,KSA
حوثي,-1,KSA
حيل,-1,KSA
حيندمو,-1,KSA
حيوانات,-1,KSA
حيوانيا,-1,KSA
حيوانين,-1,KSA
خاذلين,-1,KSA
خاصمين,-1,KSA
خالفوا,-1,KSA
خايف,-1,KSA
خاين,-1,KSA
وعميل,-1,KSA
خائن,-1,KSA
خائنه,-1,KSA
خبتم,-1,KSA
خبلات,-1,KSA
خبلان,-1,KSA
خبيث,-1,KSA
خبيلان,-1,KSA
خداعها,-1,KSA
خدرو,-1,KSA
خدعه,-1,KSA
خدمي,-1,KSA
خذل,-1,KSA
خرا,-1,KSA
خراب,-1,KSA
خرابيط,-1,KSA
خراط,-1,KSA
خربت,-1,KSA
خرطي,-1,KSA
خرف,-1,KSA
خرق,-1,KSA
خرنق,-1,KSA
خروج,-1,KSA
خرونجات,-1,KSA
خري,-1,KSA
خسارة,-1,KSA
خساره,-1,KSA
خسر,-1,KSA
خسرت,-1,KSA
خسرتم,-1,KSA
خسرتنا,-1,KSA
خسيسه,-1,KSA
خضيري,-1,KSA
خطا,-1,KSA
خفت,-1,KSA
خمر,-1,KSA
خمور,-1,KSA
خوارج,-1,KSA
خوزق,-1,KSA
خوف,-1,KSA
خوفا,-1,KSA
خوفي,-1,KSA
خونة,-1,KSA
خونه,-1,KSA
خيانة,-1,KSA
خيانه,-1,KSA
خيبتكم,-1,KSA
خيبتهم,-1,KSA
خيزرانه,-1,KSA
داشر,-1,KSA
داعس,-1,KSA
داعش,-1,KSA
داعشي,-1,KSA
داعشية,-1,KSA
دشيرة,-1,KSA
ليبروجامية,-1,KSA
دعثه,-1,KSA
دعس,-1,KSA
دعشنه,-1,KSA
دفقه,-1,KSA
والجامية,-1,KSA
دكوا,-1,KSA
دلع,-1,KSA
دمار,-1,KSA
دمر,-1,KSA
دمروا,-1,KSA
دنافسهم,-1,KSA
دواعش,-1,KSA
ديسكوهات,-1,KSA
ديوث,-1,KSA
ديوثا,-1,KSA
ديون,-1,KSA
الربويه,-1,KSA
ديونك,-1,KSA
ذال,-1,KSA
ذبابة,-1,KSA
ذبح,-1,KSA
ذبحتونا,-1,KSA
ذل,-1,KSA
ذلنا,-1,KSA
ذنب,-1,KSA
راحت,-1,KSA
راسب,-1,KSA
رافض,-1,KSA
رافضي,-1,KSA
رامية,-1,KSA
راميه,-1,KSA
رحيل,-1,KSA
رحيله,-1,KSA
رخمه,-1,KSA
رخيصة,-1,KSA
ردة,-1,KSA
رفض,-1,KSA
رفضتي,-1,KSA
رقصتوا,-1,KSA
رقصه,-1,KSA
روافض,-1,KSA
زباءله,-1,KSA
زبال,-1,KSA
زبالة,-1,KSA
زباله,-1,KSA
زبالين,-1,KSA
زحمة,-1,KSA
زحمه,-1,KSA
زخما,-1,KSA
زرفوك,-1,KSA
ززبي,-1,KSA
زعبلة,-1,KSA
زعزعة,-1,KSA
زعل,-1,KSA
زعلانين,-1,KSA
زعلتوه,-1,KSA
زعيق,-1,KSA
زفت,-1,KSA
زفتين,-1,KSA
زق,-1,KSA
زقت,-1,KSA
زقق,-1,KSA
زلايب,-1,KSA
زيود,-1,KSA
ساذج,-1,KSA
سافل,-1,KSA
ساكت,-1,KSA
سامج,-1,KSA
ساضرب,-1,KSA
سب,-1,KSA
سبايا,-1,KSA
العدوي,-1,KSA
سبهم,-1,KSA
ستسحبب,-1,KSA
ستهلكون,-1,KSA
سجنوا,-1,KSA
سجون,-1,KSA
سحب,-1,KSA
سحبة,-1,KSA
سخافات,-1,KSA
سخافتكم,-1,KSA
سخافه,-1,KSA
سخخيفف,-1,KSA
سراق,-1,KSA
سربوت,-1,KSA
سرطان,-1,KSA
ايدز,-1,KSA
مجاعة,-1,KSA
مجاعه,-1,KSA
سرطاني,-1,KSA
سرق,-1,KSA
سرقة,-1,KSA
سرقت,-1,KSA
سرقتها,-1,KSA
سرقتي,-1,KSA
