tweet,class
تخيل فرقة النني ورزق وباسم ومحمد صلاح وتقريبا محمود عزت بيهاجم برضا لويشي,pos
جزاكم الله خيرا,pos
رتني فتحت الواتس جو عشق ممنوع مرعاة لاحساسك لحبك,neg
الحب للاحزان التوهه للانسان الياس للاوطان,neg
الينك يتنشر عايزين نتفرج الحفله,neu
تحكيش حاجا لحد تا اوريب منك يروه يحكي لل اوريب منو مجربها,neg
بردو بتجبلي سيرة المزاكرة حمار عبدو حمار يسطي وسك حوار الطلبة فتحي معانا,neg
حبا فوق وحبا,neu
نسوان نسوان فقر عمرهم,neg
عايزه انجح مذاكر رساله السيسي,neu
لغات العالم حبيتك الله العالم,pos
عندنا مدرس بيضربنا بجلدة حمير واحنا كنا نقعد نيناونوله صوت القطه الفصل ونروشه بيفتري علينا الصراحه,neg
مبروك ابن مصر محمد شاهين,pos
بطلت شيلته تعبني نيك,neg
يسعد روحك جاكيت,pos
مانول جوزية قال حاجة لباتشيكو الدوري المصري انو الحكم غبي معر المفروض يقلعلة هدومة باصي لعفيفي,neg
اها كيفك مجوز توا مزال يقرا,neu
فرحة مينا وشيرين لاخوهم شاهين دول ولاد البلد وهي مصر تحيا مصر مينا فخر العرب,pos
كافراد لانهم متعودين الاشتباكات الامن ودي تجربة مفيدة فادتهم الثورة الانتصارات القومية,pos
كلام النجم محمد حماقي مينا فكواليس البرايم الواضح حماقي عجبه وركز معاه مينا عطا,pos
الاولتراس شباب جامعي معايا عربجية حرفيا,neg
تدري كدا تبقي مخنوق اكيد سببه عبيت وشلت جواك لحد مبقاش حيز يساع كدا,neg
بجد اروح عارف تعبان نيك هقدر اسوق يجي يروحني جدعان,neg
شهوة الجوع تتغلب احيانا الشهوه الجنسيه,neu
حاجة بسطتك وفرحان بيها مصدر تعاستك الحياة والعكس صحيح قدر غيب,neu
شوفت لنفسي ديحو وبعدين هشام اكبر منك سنين قدامه شوية ويموت لسه شباب,neu
بسق ط,neg
كانو ضد الثورة ونجحو الاخوان,neu
حسبي الله ونعم الوكيل دول كلاب معندهمش دين عقل الشامت والله الجنة شهيد الواجب الوطني,neg
عيزين فيديو بليز,neu
باي واي ملت السياسه وكمان الما تات فاضل نهري,neg
ماله وحش,neg
قولي احبك تزيد وسامتي بغير حبك اكون وسيما,pos
يومها فرحته معاك بيعذبني,neg
الصاحب الندل الكلوت يستر يدفي,neg
تواضروس الحرية الزائدة مضرة ويجب تشديد الرقابة الانترنت ناقص يطلب بمحاكم التفتيش بتاعه العصور الوسطي,neg
غبيه,neg
امتي نسيتك بتكلم,neg
كفار قريش دول كانو ود وسخه جاحدين اوي النبي يعرض تدخلو اسم وتدخلو الجنه وترفضوا كانو يخسروا احسن اصنام,neg
الوطن بالفيديو شريف مدكور هعرض ثواني اغنية الكريسماس الباقي عيب,neu
والله بغير اختي عارف,pos
ايوة قناة الشرق جابته الاصدقاء الفيس واعرفه,neu
الخوف يخليك عارف تفرح اسخف الحاجات الدنيا,neg
زغروطة رنا سماحة عقب فوز شاهين بلقب ستار اكاديمي زغروطة رنا سماحة,neu
ملعون ابو الاحتياج,neg
اميلك الفيس بوك كابتن حاليا بتلعب نادي,neu
تعرف لهاتفك الذكي وقم بتنزيله,neu
عيز اتعرف عليكي,pos
الكفن ملوش جيوب يتحط الفلوس,neg
امتحاني بكره,neu
عام وحبك الاجمل مضوي شمعة سنيني عام الاول حياتي وقلبي وعيني,pos
شغل بيض احا نيك نادي معرض مليان,neg
موقع تعليمي للاطفال,neu
حبها حبها ضحكتها,pos
كلنا حمام,pos
واهي خلصت الحكاية بالخير افتكرها,pos
كاستيلو المنتزه بقا خره نيك,neg
اهم شئ الطاعة,pos
ايوه مينو وحشتنا مينا فخر العرب,pos
العشري جون الزمالك الاول جول واحمد الله لانها يحتسب كاد يغير الناتيجه احا نعملكوا ولاد المره عوزين حكم الصين حكم,neg
ازاي اسماء,neu
علمتني الحياه يعيشون الارض ملائكة بشر يصيبوا وقد يخطئوا يجوز احكم شخص موقف تعاملت معه,pos
ميري كرسمس وانتم طيبين,pos
انتهي مشوار الخواجة,neg
عارف ابتدي مذاكره منين,neg
اختصروا الطريق بدلا اختيار المنصف الانقلاب يبدو الدولة العميقة ضاربة بجذورها دول العالم النامي كله,neg
اذ خانت المراة فهي تبحث الاهتمام اذ خان الرجل فهو يبحث عاهرة,neg
حبيبتي البعد نار قلبي داب الانتظار,pos
سامحك الله مك خيبة,neg
خي مالها قفلت حتة,neg
الناس حضرت حفلات البرلمان القديم يحضروش الحفلة جاية وخاصة مفيهاش رقص المرة,neg
ربنا يحميك انتا وزكريا تعالا تباركلي,pos
اما نظم العدالة الاجتماعية فتبعث الاطمئنان والفضيلة المشاكل الموجودة تكن موجودة ناصر,pos
الدنيا كتاب الفكر كلام اغنية رومانسية كلثوم دليل اننا عايشين بلاعة مجاري فكرية كبيرة الله,neg
تشجيني معانيها ارددها اغنيها سهران يجي النوم يناديني الاقي الشوق يصحيني الحرمان,pos
شكرا دكتور,pos
عنلابوام الجنتله,neg
محدش يعلة علينا كدة وصلت شكرا,neg
فعلا عفيفي ديما بتنسينا الهم والقرف بفيديو يجيب الاخر باصي لعفيفي,pos
اسمه اسم الغالي اسمه احمد,pos
رايك اقوله بقا بقول مودي حلو,pos
بن الصرمة لسه الفيلدز وحاجه بلاعات,neg
هفضل ابني سفينتي شربتو البحر,pos
واية تروح متجيش وايه هواها,neg
نفسي فلورز حرب الفولورز برعاية سيزار وترمس افندي,pos
اخويا الكبير اخويا فالدم,pos
اموت تحزنوا مجرد وقت وتنسوني نسيتوني حي,neg
عندما يتذكر المؤمن الامر ك لله وان حياته تجري اقدار الله واختياره فحتما سيطمئن قلبه,pos
النظام مرتضي منصور ماشي يمشي مدرب ت يخسره يودينا داهيه الاخر الزمالك ينافس الاهلي المركز السابع,neg
دعاء السباعي دودو وبس,pos
نهي سنفورة القهوة اديرو,neu
ضحك,pos
سوني سوني افضل بلاش فتي,neu
اهم حاجة البورتلاندي اصل لمؤغذة العمود دول يبقي متين,pos
موتي نقطه ندم جوايا ناحيتك,neg
تعتبر عايش مات بتبقي اصعي موته,neg
ومكملين المشوار يسمع رايديو رنا,neu
الحق يتقال مسلسل فشيخ بصراحة,pos
ضحك ماشي خقه,pos
فقدنا فيك الامل منك رجا رمينا طوبتك زمان,neg
ربيع جامد,pos
س ئل الحسن البصري رحمه الله اين تجد الراحة فقال سجدة غفلة وتوبة ذنب,neu
رسمت احلام عشت غنيت الهوي انغام,pos
الليله ليله عمرنا,pos
الله يخرب بيتك مرسي,neg
وحضرتك بالف صحة وخير ايامك فرحة,pos
سانتا كلوز مصري يتثبت بليل,neg
هبتدي انام بدري واقوم بدري اذاكر والحوارات خرة بتيجي معايا سكة,neg
باجي الوقت ببقي عاملة كدة سوري نوت سوري,neg
اكيد شرف ليكم خدم الزوبر,neg
الرجوله صعبه مو ضروري تصير نثيه,neg
اجمل حياتي بجد كتب كتابي حبيبي,pos
اخاطب الشيب وافاني صغر عجلت عادني همي عجل البياض مفرقي لغة قرات فصول الياس والامل احدث الليل,neg
حوار هسقطه,neg
اعلم الله,pos
يطنش يطنش بكرة يتطنش,neg
عرفت ديمسبر سوكا وهنهي معاك ديسمبر,neg
صاحبي وعقبال ويا رب سعيده وتحقق احلامك,pos
اصحي الساعه الصبح انزل درس ضحك,neg
ضحك سعيد الهوا,pos
الحمد لله العلامات السريعة القاطعة الشافية,pos
المشكله بلد فشل زويل ونجحت صافيناز,neg
قلبك ملكك متشغلوش باي,pos
الاختيار قصة سيدي الحارث تربيزة خبط بالعقل اغنيةكام لزاب يخت عالقهوة افضل ضيف زاب ثروت اشهر زبون لكلوك,pos
اله الله العظيم الحليم اله الله رب العرش العظيم اله الله رب السماوات ورب الارض ورب العرش الكريم,neu
معاكي كمدافع بيقطع كرات كويس,pos
بيحبك حافظ كام كلمه ماشي يقولها لاي بنت يقابلها,neg
الحقيقة مبتزعلش,pos
الاختيار عمر سمره يحكي افضل قصه الزئبق الاحمر افضل اغنيه ناس تشبهلنا اشهر زبون لكلوك القهوه افضل حمله خروفي,pos
قلب كبير,pos
احمد جمال بودي جارد القهوه الزئبق الاحمر ناس تشبهلنا التبرع بالدم,neu
ساكت برا راديو جوا,neg
الانتخابات اولا الدستوراولا النتيجة واحدة,neg
بقيت بحس الايموشن قليل الادب بيدي ايحائات بكدا,neg
مبارك ابن ميتين الكلب,neg
مكنتش اعرف بعرف احب بالكميات نفس الوقت والله الواحد بيكتشف قدرات ريبة جواه,pos
محمد الوحيد معندوش امتحان ونايم بدري,neu
الغباء بيجيب ورا,neg
هنام سلام,neu
حقوق اهو ميرفت,neu
مني اهواه يمل لساني ذكراه فان غاب عيني فالقلب مصدره,pos
عيلة وسخة بننجح قصف جبهة,neg
ضحك عحبتني سطر النمل,pos
بلاقي اشتغلة بقعد اشتغل نفسي اضحك,pos
الليالي غرتك,neg
اكون الوحيد المستفاد لسبب جربت الحرمات ريحت دماغي فضول,pos
خلص رح اسامحها لانو حكت الحكي نفسي احكيه حابة افضح ابتسام الحمد لله الله كبير,pos
عادة الناس بيتكلموا الفضيلة بيملكوها,neg
بصفتك بنت وفاهمه البنات استفدت منك معلومه بتجاهلها نفسي يبقي ليا اخت زيك وتفهمني ولما احب واحده تقولي حمار اعملها,pos
بتقشرو البرتقان ازاي ماسك برتقانه ساعه عارف اقشرها شرحتها,neg
اقع راح اقوم ودي مسالة مبدا,pos
فضلت الناس العادات التقاليد الهبل حياتك تنتهي تبتدي,neg
تتعلم جيدا تقفز راس ك,neu
وصباحك عسل,pos
اقدم عاصمه للحزن,neg
رب,pos
تتحاسبي استخدام خارج فيس بوك تويتر واتس اب قرش للميجابايت الواحده,neu
الحشيش بيقلب المواجع يطلب بنكد,neg
ضحك خلص بخير وبنحكي ضحك,pos
صوتها بيوهب قلبي حياة,pos
بمتحن,neu
قرارت حاسمه شخص يعتمد مكنتش تعزمه ظالم,neg
تبقي كارثة ينية,neg
الرقابه الصحيه توفر نفقات الدواء والعلاج تعجز الحكومه تدبيرها لكل المصرين مقالي بالجمهوريه السبت,neu
ريس الكثير الناس يستغل اللفظ خطا لاننا صرفنا ارباح الاموال للعملاء طوال الفتره,neg
حبيت ضحك,pos
النملة اصغر وللا البرغوت التمر حنة القملة السمسمة,neu
الله يوفقك وتوصل لاعلا مرحلة بالدني بتستاهل الخير لانك وائل وبكفي وائل بعشقكك,pos
الحقيقه بدت الخيال عدوي واذكا حبيب ماقفيت ناداني تعال لذه الحب الشيء القليل,pos
للاسف ماعندي علم,neg
ضحك دول عيالي اص,neu
فقت نوم اغني شو اخبارك لنوال الزغبي وقتها حبيتها,pos
بالعكس الباثولوجي بحبها,pos
غرد وقت الذروه ليتمكن اكبر عدد المتابعين مشاهدتها اربعه الفجر ماحد حولك,neu
برضو فاهم لول معلش مسطلة ديني,neu
تمام محتاجة النسخة الكاملة اكتاب ضروري,neu
فندق اتلانتس,neu
سالوا العرص تعلم نسبة البطالة مصر قال المصرين كلهم ابطال اعم فاضي بحارب الارهاب المختمل تحيا ماسر,neg
شاي بسكويت للمره الرابعه التوازي,neu
ينهمر البكاء مره اخري,neg
وزير داخليةالانقلاب بيقول نعيش عصرا ذهبيا لتكاتف القضاء الشرطة والجيش الاعلام الشعب يتكاتف ايتضرب قفاة حول,neg
عيش مبدا اللهم نفسي,neg
مينفعش تنزل دمعه لانك ليك قيمه عندو يوصلك تعيط,neg
والله كتبها كدة برافو عليكي,pos
اهاها ماشي دول قرش,neu
متخلف وقذر بسمع للكوجر الكلام بيقولو وايه الطريقه الزفت عارف بسمعو ازاي,neg
سبق الامر,neu
كلية كلبة,neg
امينة عاوزة نمرتك,neu
حرام الظلم التحكيمي الفاجر,neg
نتمني الفنانة رنا سماحة ضمن المرشحين بليزز,pos
عارف بصراحه مجربتش,neu
ميت يوحشك تفضل تفتكر مواقف معاك تضحك لحد تدمع,neg
مبسوط,pos
نؤجل التهنئة ليوم ابريل مولدي,pos
عارف بحبك حبك بيحلالي بتكون عاشق مجنون حبك ليا مالي الكون بتبقي بريء ساعات جريء قلبي بيهون,pos
سبتك تعيش بعدي الحياة,pos
وعليك قبلنا نجم النجوم عندليب الحب والاحساس,pos
باشا امرك قول جزر اتلاقيني خلينا يناير الزحمة,pos
ليثو شرف تويتر,pos
تتكلمي مدي العيون سلمي,pos
صوتك الله ملايكة بيغنوا,pos
حسبي الله ونعم الوكيل فيك سيسي,neg
الشعب بشاير فبراير,neu
حاج فوزي مسا مسا يهمك خودي الاكونت كله اصلا,pos
الخير جاي,pos
بحكي طرمس جبل القصور بحكوا طرمس,neu
واو زيكو وبيتي قمرات ربنا يحفظهم زكي شريف ابتسام تسكت,pos
تفتح التلفزيون تطلع خميس الحديدي قصة قصيرة مرعبة,neg
اشوفك,neu
الناس,neu
بتنحاز تماما نحاز فيهن فلسطين وحر بلدك بطل تكونو اعداء لدولة احتضنتكن لعشرات سنين واكلتو خيراتا,neg
اللهم اكتب خير وارضني,pos
يستر الله طلعتو بنغازي,neu
خلي لنفسك حدود غيرك يتعدوها,neu
هكونا متاتا البرائه,pos
تابعه الشهر الشهر جاي متتعولقش,neg
ههة رنا سماحة صوتها واو صفحتها معدية المليون الاحسن لليليا عدت الربع مليون بالعافية عمرها بالايك,neg
وايه ميخلكيش تدخلي صيدلة,neu
ملكه اشرف الاردن,neu
سعيد دفاع هجوم اوت تكملة عدد للفريق,neg
يحب ك حقا يجرؤ مرور الوقت بدونك س يحن س يشتاق س يتالم س يص نع المستحيل ليحادثك,pos
زهقت اوي الله احيه اذاكر انسي التانيه هنلعب امتحانات,neg
تاخد تلت ساعة,neu
ضحك حبيبي اقدر زعلك والله مقدر,pos
ااتار منار حلوه فعلا والايموشن بتاعها معبر اوي,pos
الدونيا سيرك مسرحيه ناس عينيها عليا,neg
ينشبك حلمك بحلمي,neu
اتولي رقم دعاء حالا تاخدوا نصيبكوا,neu
الناس روحنا تشبه روحهم,pos
القريبين منك يعرفوا كبيرة وصغيرة عنك حاجات تحتفظ بيها لنفسك,neu
بتصعب عليا الناس كليه فاهمين المزيكا وبيعدوا وبيعشوا حياتهم يبقوا مدرسين موسيقي الاخر,neg
بتمني نعرف قيمة بلدنا,pos
كلنا الشخص المتنيل عينه,neg
الله يكثر امثالك,pos
حبيبتشي مروة,pos
عيوبنا بنخبيها غلاططنه بنفتخر بيه مكسوفين ولاندمنين عيشت الحرام سايقين,neg
ايد ه تقيله معلش,neg
موحرام الحين وين اللاقي جبهتي بالله,neg
الحب يعرف ملة زمن ظروف الحب مساحة شاسعه خارج حدود المنطق,pos
سانتا كلوز مصري يجيب هدايا رخيصة للفقرا ويجامل بالهدايا الغالية اغنياء,neg
جدعان المحاسبة بنت وسخة والله,neg
عا فيلمي اجل امراة,neu
نفسي مره واحده اشوف الريتويت الفيفوريت نفسي رب يسمعوا الكلام شيرين يحيي,neu
خل المشاعر تنام وبالها خالي محد سواك ضحكها بكاها لحالي وقتي مهو حالي والذكريات الثقيلة بنساها,pos
انتوا ازاي قدرتوا تحدوا النسل البلد المهم العميد رد بيقوله نقصنا بنسبه مليون نسمه خلاص سنوات الاخ,neg
تح سبي الب عد نادم القلب نار الغرام معذ وقد قلت سلوت ن الهوي وم ن مثلي يقول ويك ذب,neg
لقد هرمنا اجل اللحظه هنسقط موزه,neg
الفاشل تخرج بنظام التحسين اختراعك,neg
بحلم بيك بحلم بيك تارارا را رام,pos
,pos
صوت صرصور الحقل,neu
المشكلة علق الموضوع تتطور وبقيت بوهم نفسي انتفض وهاخلص مذاكرة الامتحان وهانجح كسم خيالي الواسع عني,neg
امبارح بقول افترقنا حياتي نهايتها وانهارده بقيت بقول موش قدامي يجيب سيرتها,neg
ك نت نفسك تبني نيا طعم حاجة تانية,pos
فعلا تبدا صفحة جديدة حياتك تبطل تقرا الصفحة القديمة,neu
صباح الخير الموجودين ندردش معاه معاها,pos
يطم ئن قلبك ن عيناي داخلي,pos
اتوه نظرت لعينيك رغما ثباتي,pos
غني اغنيه وهي غنتش اغنيتها كيوت ومينا وشيرين الحقيني بالينك تاهه مني دعاء السباعي,pos
عار نجد التدني المطلوب سرعة التحقيق ولوثبت ادانه الفصل,neg
هوا صاحي غيري,neu
اللهم اغفر ولجميع امة المسلمين واشفي مرضانا ومرضي جميع المسلمين وانصر اهلنا الشام وفلسطين والعراق واليمن وسائر بد المسلمين,pos
اومال لونها فاتح السكر مفتحها حاطط معلقة سكر,neu
كلمه واحده تصرف صدفه واحده تغيرك,neu
ماده تحتاجها تلاقيها,neg
اغاني تانيه فاكرة حاجة,neu
للابد بكذب وبحكي بكره بصحي الصبح بكير بدرس,neg
بت ميتين اللبوة ابعتيلي رقمك,neg
احبك بصدق ابعد عنك يجرحك,pos
تكونوا كالذين نسوا الله انساهم انفسهم استغفر الله العظيم واتوب,neu
شيء تحب تحصل يجب تدفع ثمنه والثمن دائما العمل الصبر الحب التضحية سبيل تحقيقه,neu
ناس تصحي وناس تنام,neu
القصة مسليه فشخ,pos
ديني الضيحك ضحك,pos
الوطن علاء الغطريفي يكتب التعذيب اتحدث,neu
همس الكلام واصل,pos
ضحك معلش هخلكي تكلمي الحمار وزي الغله بتشجعها هرد عليكي انتي محروق دمك ضحك,neg
بسرعه تبوك تجي,neu
تتحقق احلامك تنسا تدفع ديونك القديمة,neu
سلمي صاحية بتهيب,neg
اللهم اغننا بحلالك حرامك وبفضلك عمن سواك,pos
سكايب كول ظاظا تلت ساعات ونص نخلص سكشن تمانية وهنام وش الصبح قحة,neg
حابب تعبي لانه عشانك راضية بغلبي لانه معاك,pos
فنيه تمريض بخميس مشيط ابي بديله لمنطقه تبوك وظائف توظيف,neu
ركعتين لله الوقت ربي يستجب دعائكم,pos
رب امنيةي حياتي ابقي مشهور والناس تتصور معايا رب فرحه عندك,pos
ضحك ربي يسعدك,pos
بني زيد كلها تنباد حاج تعبنا,neg
ايوه سلام الكلام,pos
بيفرق الكاميرات بيتكلم ويقول ويعيد ويرجع يكدب والاعلام لمؤاخذه بيعرض,neg
حضرتك شايف تبقي ازاي,neu
ح اف ظ وا الص ات الص اة س ط ق وم وا ه ق ت ين سورة البقرة,neu
احسن البغله وامها عارفه تربيها كويس,neg
ضحك مسخره ضحك موتني ضحك,pos
تسلملي شيري انتي الاحسن جميله وان شاء الله سعيده علينا جميعا,pos
عملتلي ريتويت جميله,pos
الحب الحب الشوق الشوق,pos
القضاه عاوزين يتعالجوا يتفسحوا جيوب المواطنين اخص شرفكم,neg
بلطجية ضحك خدي بلطجية ايدك وعلي اقرب اسم شرطة وقدمي بلاغ معفنة ضحك,neg
فيلم مسدسات شكله,neu
الرسول الاكرم محمد صلي الله وسلم سؤل صيام الاثنين فقال ولدت يعظم ولادته بالصيام لله,neu
صبح الورد لكل موجدين,pos
ابدا التصوف الحق العمل بطاعة الله العلم الاسلام بعينه,pos
باك,neu
صباح الخير استفسار مشكلة با اتصال الانترنت اضافتي ارسال الاستفسار الخاص ودمتم,neu
رب اعطنا الخشية نبكي ذنوبنا الثقة نواجه صعاب الدنيا مبتسمين,pos
بوركتم,pos
نستمتع بمتابعت بعضنا,pos
انتي بت حافظة فاهمة معندكيش الجرجير بت خافي نفسك المصرين بردوا,neg
احسن الدعاره برده لمو بنتكم الرجاله الاول بعدين اتكلمو اشرف ناس,neg
فعلا ماحدي بيسلم الخنائة ضحك,neg
ق ه الل ه ح الل ه الص ول ك ن ه ك ح,neu
فضل سورة الاخلاص ابي سعيد الخدري النبي قال قل الله احد نفسي بيده لتعدل ثلث القران رواه البخاري,neu
زمن الصحابة اثر الفقر الطاعة لله يسال الناس الحاجة العلم والعمل,neu
سيبك سوما نروح ننام وسيبيها تنبح الكلبة,neg
كثير الصحابة والتابعين كانوا متصوفبن زاهدين تاركن اهواء الدنيا للاخرة الباقبة,neu
الجو ساقعه الجو تلج حاسه بجسمي كله كتر التلج,neg
انتي مال امك انتي المفروض تمشي عمله التاق,neg
تعبت ربي يومين بنام بسبب حتة لوجو منك رسمة منك كتابة اصلا لوجو معفن,neg
صباح المطر صباح الرضا بماقدار صباح ابلون الزهر صباح الفرح الاخر,pos
صباحكو بيضحك,pos
فعل سيدنا عثمان ابن عفان جمع المصحف الدفتين وامر بكتابته اول نقطه سيدنا ابن يعمر نور الدنيا هدي محمد,neu
اذه مكافئه الدنيا فكيف مكافئة الله بالاخره,pos
ر س ح ر الن ر ة ن الر,neu
اعشق بكل جنان,pos
ش استشهاد عريف شرطة واصابة اثر قيام مجهولين يستقلان دراجة بخارية باطلاق النار عليهما بميدان سفنكس بالمهندسين,neu
تستحق النفس مرحلة تقطعها الحياة نعيد النظر اصابها غنم غرم,neu
صباح الجمال رضوي,pos
صباح الورد جميعا مدينة الشيخ زايد,pos
لاريجاني عودته جولته الاقليمية انسجام فكري واضح سوريا العراق لبنان حيال القضايا المهمة المنطقة,neu
توكلنا الله رب معين,pos
ايضا يوجد مصلحة عامة لتنظيمكم حال تحرير الطيار ستظهر مصلحة التنظيم الايام القادمة تنسي تعاطف الشعب الاردني معكم,pos
تعطي احد اكثر حقه,neu
صباحك بيضحك باذن الله,pos
صباح الفل,pos
الجيش الباكستاني يعلن مقتل مسلحا غارات شنتها الطائرات الحربية,neu
الدنيا جميلة بمعانيها السامية جميلة بالقلوب الغاليه تبث فينا الامل تشعرنا دائما بالود والمحبةاسال الله ايامكم كلها سعادة,pos
احوال البشر الموت البرزخ,neu
للمستحيل معني تعلم اللة س قدير,pos
تويتر صباح الفل والعسل والياسمين للي صبحنا مصبحناش,pos
غايتو شفقان علينا اظنك تسافر,neg
شغل شغل سفر سفر النوم نوم,neg
اخدك اول الشارع نمشي شارع مؤمن,neu
فرع حلميه الزيتون,neu
غضبا ابلي عافيتك اوسع اللهم اعوز بنور وجهك اشرقت الظلمات وصلح امر الدنيا الاخرة ينزل غبضك يحل سخطك,pos
صباحك سكر,pos
بتزكر امتحان علوم تجريبي وكنت صف خامس ورايحة دارسة بدا القصف ونص وسحبت حالي وشردت جراي الدار ينعنها,neg
اوقف حاجز ضهر البيدر ر نيجيري بجرم ترويج عملة مزيفة قوي الامن لبنان,neu
الحق بالجهل الفضل شلق يكتب علمت شيئا وغابت عنك اشياء نجهل اكبر بكثير نعرف,neu
موجز الصحف العربية,neu
قمر منور,pos
اسلامنا نخجل نضطر للدفاع عنه نتدسس للناس تدسسا نتلعثم الجهر حقيقته,pos
رب ويسعدك,pos
اللهم واحفظ احبتي وغبنتي سوء اللهم واجرنا مضلات الفتن ابقيتنا,pos
اتصل واقض اجمل الاوقات تركيا فايبر واتساب تانغو,neu
الحسد الحسنات تاكل النارالحطب,neu
ليكن كلامك حولك عنوانه دائما الايجابية والتفاؤل واساسه محبة الخير للغير صباح خير,pos
ملعون ابوة ابوك انتة واجع دماغي اهلي الصبح قوم بني شوفالك لعبه,neg
الوزيرالعلقمي وازمه فتحوابواب بغدادللتتارالمغول احفاد ابي رغال رائدالعدروالخيانه,neg
يسعدلي الصباح عيونكو الحلوين,pos
بقينا اتنين غراب,neg
ت ظه ر للمتحدث معرفتك بكل معلومة يتحدث عنها فالانصات نصف الادب,neu
صباح الفل والعسل والياسمين بقا,pos
قل اعوذ برب الفلق شر ماخلق شر غاسق وقب شر النفاثات العقد شر حاسد حسد,neu
نهار جهل,neg
شارع النيل بجانب برج الاتصالات والساحة الخضراء الثلاث ذاتها منظمة منتدي الشباب منظمة الوصول للرعاية الانسانية,neu
تشبه الحياة ديوان جديد للشاعرة اميرة الادهم دار ميريت,neu
ينضم لجماعة اخوان غبي اذكر امامة السيسي محمد بن زايد عبد الله وسينهار وينكشف ويظهر انتمائه للخرفان,neg
اللهم سهل جعلته سهلا الله يوفق طلاب التوجيهي يضيعلهم تعب دعواتكم لاختي,pos
حبيت جميل ريتني ضله عاشق الجمال والحسن كله الشباك لارميلك حالي كتر خوفي بنام,pos
القبض عناصر ارهابية وتدمير بؤر الشيخ زويد حملة امنية شمال سيناء,neu
تويب تقوله ابي نيو ير احلي تويب احلي احلي حاجة حصلت وانتي معايا دايما,pos
غرفة الاخبار متابعة حركة المرور والازدحام بشوارع وميادين القاهرة لصباح ديسمبر,neu
تسلملي رب,pos
قال يوسف اخي الله علينا يتق ويصبر فان الله يضيع اجر المحسنين ذكر منة الله بالتقوي والصبر وعدل الله الجزاء,pos
ق ش ق الص اح ج ت الم وت حن ة,neg
اللهم الحمد ينبغي لجل وجهك ولعظيم سلطانك,pos
صباح الخير اوسخ حكام العالم كله,neg
شكلك وحش اوي انته واشكالك عندكوا دم,neg
الل ه اج ن الت ابين اج ني ن المت ط ه رين,pos
احلا عملاقه,pos
سولفي خجلي بصوتك هديل الحمام وعل مي الليل الليل عاف السكون,pos
شارع الجاردنز,neu
خلص درس درس طبل طبل اهم اشي الصحه صباح الخير,pos
حزين بيتنرفز مدايق ربي عا,neg
اا ه ذ ين ن وا ات ق والل ه ت ن ظ ر ن س اق ت غ ات ق والل ه ن الل ه خ ير ات ون,pos
ديسمبر موعد للتقدم لمسابقة افضل كتب لعام,neu
دايما منوره الدنيا,pos
كلنا هنشيل استثني احد,neg
اسكت بقول اسمها برتاح,pos
درست دين سنين الحمد لله بعرف اتعامل معه,pos
خير اصحي اوكا اورتيجا دلع بنات,pos
ربنا يكرمك اصل ربنا رزقنا باحمد عنده اسبوعين افتكرتك شوفتي صورته,pos
جزيتي الجنة شاء الله هبلغه,pos
لمجرد لسه عايش دة دليل لسه قادر تعمل حاجات,pos
صباح الخير قر اء بوابة الشروق,pos
رب نعوذ علم قلب يخشع نفس تشبع,pos
السعاده حظا بختا انما قدره داخل نفسك,pos
غم وهم يتجدد وعصابات سامة تنخر غي عظام مجتمع عتيق اسواما يحدث نزيف الفتل اليومي قي شوارع القاهرةمن فنل جنود,neg
عارف اغلب البنات هون شايفات حالهن بلا شو,neg
اله سبحانك الظالمين,pos
معدل تغير السرعه بالنسبه للمسافه ويقاس بالثانيه الدقيقه الساعه,neu
حقك تعرف حبيبي,neg
السعوديون بداوا فقدان اتزانهم العصبي فشل مخططهم اسقاط الاقتصاد الروسي والايراني طوال الاشهر الاربعة الماضية,neg
دحيح نيلة مستقبل بيضيع والامتحان بكرة,neg
بارك الله فيك وجزاك خيرا,pos
مصيبتنا الانا تعظيم الذات فكرنا هنلاقي حاجة اقهر ذاتك,neg
صباح بغاشا باشا مستنينا,pos
فيلم اخرجته انجولينا جولي يتصدر شباك التذاكر معاذ الكساسبة,neu
بالمحصلة وبالنتيجة بكرا مبارح تبسط حالك قدر الامكان,pos
محمد عساف بطاقات حفله الكبير ليلة راس السنة نفذت بالكامل,neu
التايم لاين كله فشله فين الدحيحه,neg
النكد رايحة الامتحان وحده مشغله مصطفي كامل بصوت عالي اوي ناقصه,neg
تويوتا تزود موديل لكزس اس بمحرك يدروجيني للمزيد,neu
الاشياء نحتاجها واخري نتمناها نحصل قدره الله اللهم قدر الخير ارضنا,pos
البقاء لله صحبي,neg
علماء الارق يسبب الظهر للمزيد,neu
يسعد صباحكم,pos
التحكم المروري حركة المرور كثيفة المدينة الرياضية باتجاه الكولا وصولا نفق سليم سلام,neu
نتعرف الطيز الحلوة,neg
بونجوغ مادموزيل,pos
الناتو يقتل ثلاثة افغان الخطا,neg
الفرح بلقاء الله,pos
اللهم ارزقنا البر والتقوي,pos
كنا الوقت اد سنين بندور وروحنا خانيونس وسبناه غزة انو شهيد,neg
محافظ القاهرة افتتاح مركز تكنولوجي لدعم وتدريب ذوي الاعاقة وشباب المناطق العشوائية,pos
غزة ذكري حرب اخري زالت الحرب تنطفئ,neg
وعندما نشتاق لاحد بشده يصبح العالم كانه خالي البشر,pos
الراعي يتراس الصلاة لراحة نفس المطران الدويهي الظهر,neu
